sport,occupation,direct_correlation,indirect_correlation,same_correlation
tennis,magician,-0.9792645959318125,0.0753601707044026,False
tennis,mechanic,-0.05441815849781636,0.21131415112163965,False
tennis,musician,-0.660069832616707,0.33242247521407375,False
tennis,nurse,0.3528236924708043,-0.19063102300458976,False
tennis,painter,0.10589203800380324,-0.03207804676496606,False
tennis,philosopher,-0.5490172408404131,-0.21964660308618938,True
tennis,photographer,0.15396451529134186,0.3957472529189654,True
tennis,pilot,0.21917918076990153,0.38406503335521464,True
tennis,policeman,-0.01756689993930477,0.1823820934454905,False
tennis,politician,-0.5010724402740435,0.24049739836438597,False
tennis,professor,-0.6915938157462539,-0.030240117688908347,True
tennis,programmer,-0.20317208235946022,0.4876689919977653,False
tennis,psychologist,-0.5182176103388669,0.10269324975857307,False
tennis,scientist,-0.6969405047771875,-0.0705016763285412,True
tennis,scholar,0.920675492819314,-0.04478288877366583,False
tennis,secretary,0.3570063513378421,-0.23565808008181294,False
tennis,server,0.007643180012469155,-0.07831756592767214,False
tennis,singer,-0.8104984005063204,-0.07348971331541919,True
tennis,soldier,-0.521990163979925,-0.13450667054932497,True
tennis,surgeon,-0.9117285714436685,0.1864393763487968,False
tennis,teacher,-0.16447863220044803,-0.16537867975014342,True
tennis,therapist,-0.4670681886533365,-0.017967232318925882,True
tennis,translator,-0.050688455754735545,-0.35362145043247284,True
tennis,waiter,0.38591077693783205,0.27618262372078184,True
tennis,waitress,0.21348540331762067,-0.13595171352206725,False
tennis,warrior,-0.9376668922957381,-0.2710264669859455,True
tennis,writer,-0.06317532743981807,0.09901931835844575,False
volleyball,accountant,0.4769562625410561,-0.159271403791732,False
volleyball,architect,-0.18748968087395212,-0.26647062305179753,True
volleyball,artist,-0.706019517269871,-0.17044753188992184,True
volleyball,attorney,-0.6652957101947723,0.03764793373466705,False
volleyball,banker,-0.08898422721490779,-0.3388543328151468,True
volleyball,bartender,0.6951284335615046,0.414845123296442,True
volleyball,broadcaster,-0.3525759803470568,-0.14138130170475477,True
volleyball,builder,0.09724170828401572,-0.24225834406559837,False
volleyball,businessman,-0.621790035088448,-0.1715086104198099,True
volleyball,butcher,0.25242359580374113,-0.4399901763754844,False
volleyball,captain,0.4579844637957096,-0.18097419843255994,False
volleyball,carpenter,0.41357148745552563,-0.22170816447343084,False
