,occupation,yob,direct_correlation,indirect_correlation,same_correlation
92,accountant,2012,-0.2545674611064917,-0.3937547444763809,True
93,accountant,2013,-0.188802025227524,-0.3211002064309396,True
94,accountant,2014,-0.3047109366468849,-0.3224301773047287,True
95,accountant,2015,-0.3013075433155128,-0.35506369232745066,True
96,accountant,2016,-0.2968311570357606,-0.3576001719222831,True
97,accountant,2017,-0.3623525280739945,-0.3543222215583811,True
98,accountant,2018,-0.3712652655593166,-0.2497580334830281,True
99,accountant,2019,-0.6173334554319446,-0.34731771030371145,True
100,accountant,2020,-0.5083363614866632,-0.3371638793928172,True
101,air traffic controller,1920,-0.06985423269179647,-0.22158086821930684,True
102,air traffic controller,1921,-0.01676631148723565,-0.17138463942463866,True
103,air traffic controller,1922,0.08793467401768261,-0.08092874988555783,False
104,air traffic controller,1923,0.08009905100826997,-0.13256885401714874,False
105,air traffic controller,1924,0.042577162614662836,-0.18189290346371573,False
106,air traffic controller,1925,-0.06636401332786092,-0.2274759371066673,True
107,air traffic controller,1926,0.06610713707940362,-0.2635670968100175,False
108,air traffic controller,1927,-0.11637351575250116,-0.26709858304676504,True
109,air traffic controller,1928,-0.1762656787533016,-0.2733559103240873,True
110,air traffic controller,1929,-0.08928575331425227,-0.2427538813883841,True
111,air traffic controller,1930,-0.08822101962981321,-0.1939269622083136,True
112,air traffic controller,1931,-0.0474610807144599,-0.23562934921472103,True
113,air traffic controller,1932,-0.14667251519567234,-0.30812512404841064,True
114,air traffic controller,1933,-0.01581366673273581,-0.2789417765504724,True
115,air traffic controller,1934,-0.04688217637768002,-0.21964067376845345,True
116,air traffic controller,1935,-0.009963322724364091,-0.17128975781352526,True
117,air traffic controller,1936,-0.06176349589322488,-0.18988182328386166,True
118,air traffic controller,1937,0.06385294974245814,-0.13223935214335095,False
119,air traffic controller,1938,0.0761425520601193,-0.09494611163773407,False
120,air traffic controller,1939,0.1643847066554208,-0.03504505434297394,False
121,air traffic controller,1940,0.21545910876907606,0.007551890505484759,True
122,air traffic controller,1941,0.26373962293471026,-0.0157268991703237,False
123,air traffic controller,1942,0.3747137884054678,0.01502017828232819,True
124,air traffic controller,1943,0.21010419517296847,-0.1190381888715717,False
125,air traffic controller,1944,0.05911522560686076,-0.16609998731052794,False
126,air traffic controller,1945,0.18975201665155614,0.03915998498718815,True
127,air traffic controller,1946,0.3554444378355483,0.0058150262065699045,True
128,air traffic controller,1947,0.26515166995473377,-0.10195644133951832,False
129,air traffic controller,1948,0.11566281941806927,-0.11160227203089408,False
130,air traffic controller,1949,0.23690878557841066,0.014681427693898469,True
