country,age,direct_correlation,indirect_correlation,same_correlation
Nigeria,99,0.0734451734526595,0.2531243305213407,True
Nigeria,100,0.20927473211416614,0.26387863570613224,True
Nigeria,101,-0.13475245358104684,0.20585714929576243,False
Nigeria,102,-0.12342416481653033,0.23252183285743885,False
Ethiopia,1,1.009471532540048,0.15794569878482256,True
Ethiopia,2,1.003239531537499,0.08153343152770368,True
Ethiopia,3,0.8433489488066152,0.09872338998919557,True
Ethiopia,4,0.8572236900990237,0.08305742168754464,True
Ethiopia,5,0.7800958801970681,0.10825105835732418,True
Ethiopia,6,0.6313445558032058,0.09070627893279354,True
Ethiopia,7,0.6573534582930471,0.13383402396797137,True
Ethiopia,8,0.6496735824403742,0.07557435660644071,True
Ethiopia,9,0.54215366302566,0.08498135892220232,True
Ethiopia,10,0.5124821991886186,0.09082656015576158,True
