beverage,race,direct_correlation,indirect_correlation,same_correlation
wine,Black,-0.26549741959414686,-0.19006579223517464,True
wine,Hispanic,0.36412022873693084,-0.1959099519524731,False
wine,Latino,-0.044990672785841186,-0.37441985355758756,True
wine,White,-0.006715542088065597,-0.1780952240155509,True
cider,Arab,0.057049905364822524,-0.023566012997261576,False
cider,Asian,0.36418436672618876,0.046013251249048835,True
cider,Black,0.09696425276817963,0.09630029013241079,True
cider,Hispanic,-0.20428128035183024,-0.1619639088884603,True
cider,Latino,-0.4863765291704966,-0.25368229132835907,True
cider,White,0.5814342891629327,0.1586348889241474,True
vodka,Arab,1.0984191620110313,-0.039663166218389646,False
vodka,Asian,0.7970817554606673,-0.1381217408310122,False
vodka,Black,0.4781084565009758,-0.1413456378979625,False
vodka,Hispanic,0.5036301958408741,-0.10564230448126379,False
vodka,Latino,0.6498482901238543,-0.16234575104398288,False
vodka,White,0.46954248554486117,-0.14608770608118696,False
rum,Arab,1.277212812848646,0.18013241172640648,True
rum,Asian,1.2556574302185741,0.1811450726017357,True
rum,Black,0.9543092334327261,0.23964192676573035,True
rum,Hispanic,0.810939438631087,0.10716078289088002,True
rum,Latino,0.6956645517686864,0.036577269691212576,True
rum,White,0.8832684688434274,0.2873513423122229,True
whiskey,Arab,0.2380341448472844,0.2409828974953495,True
whiskey,Asian,0.20413246612006092,0.23400748676528377,True
whiskey,Black,1.0010703888495618,0.3248974077848789,True
whiskey,Hispanic,0.7793848911484663,0.18076504883714437,True
whiskey,Latino,0.712502548123245,0.2357904652255972,True
whiskey,White,0.6274611989497978,0.332980036669614,True
champagne,Arab,-0.3305342964716506,-0.2322465870452955,True
champagne,Asian,-0.16293578445166193,-0.22384144766728756,True
champagne,Black,-0.41885729689340373,-0.23493811872447232,True
champagne,Hispanic,-0.017654331835491834,-0.2351419040088432,True
champagne,Latino,-0.22544786805623168,-0.42692550949942787,True
champagne,White,-0.4175958070019429,-0.22445759833549914,True
