,occupation,race,direct_correlation,indirect_correlation,same_correlation
93,businessman,Hispanic,1.2980732961742425,0.2509275020010748,True
94,businessman,Latino,0.4169882498091455,0.2543186747568243,True
95,businessman,White,0.106307507883974,0.08213310300400313,True
96,businesswoman,Arab,0.5874033695233906,-0.028336955120383638,False
97,businesswoman,Asian,0.4903289727556552,0.09623696193693693,True
98,businesswoman,Black,1.5114541861199875,0.07089816475334493,True
99,businesswoman,Hispanic,1.67655184188007,0.14023087894102182,True
100,businesswoman,Latino,0.5228231104750404,0.0036240031332598227,True
101,businesswoman,White,0.3740650143820923,0.04853265436823457,True
102,butcher,Arab,0.7363403120304453,0.1493894028005159,True
103,butcher,Asian,0.2858604115746549,0.07561605921248225,True
104,butcher,Black,1.051951776759785,0.1811540874472012,True
105,butcher,Hispanic,1.2284902587246245,0.20417837817799173,True
106,butcher,Latino,0.4020755135814227,0.14424442207024699,True
107,butcher,White,-0.08665287511601094,0.1433788815872482,False
108,captain,Arab,0.8168053332991976,0.08676716948977145,True
109,captain,Asian,-0.3143531562347958,0.02319880230746161,False
110,captain,Black,1.5307261794794151,0.10702969167641972,True
111,captain,Hispanic,0.2875205126652081,0.008536396670528659,True
112,captain,Latino,-0.4749401018038876,0.01878565064633092,False
113,captain,White,0.9954406512433868,0.11457877582193647,True
114,carpenter,Arab,0.4340084550564304,0.17274180610873455,True
115,carpenter,Asian,-0.21822722452598906,0.10954389202075597,False
116,carpenter,Black,1.329829331620929,0.2985147493762173,True
117,carpenter,Hispanic,0.6974846232781837,0.22227693283922345,True
118,carpenter,Latino,0.04640860810702573,0.14829290362316164,True
119,carpenter,White,-0.12173132572417253,0.243934005652965,False
120,cashier,Arab,0.6934053965944337,0.0341601369328912,True
121,cashier,Asian,0.6884084782558265,0.13454102276133018,True
122,cashier,Black,1.3947228152307565,0.13846682392490614,True
123,cashier,Hispanic,1.8275783475219491,0.09577930425522248,True
124,cashier,Latino,0.652980818523682,0.014120773996165771,True
125,cashier,White,0.5774348901098879,0.096813777069439,True
126,chef,Arab,0.6009944592163131,0.11522501733450467,True
127,chef,Asian,0.5616093003312393,0.20114575340881596,True
128,chef,Black,1.1624553275102807,0.05200362217608436,True
129,chef,Hispanic,1.5101685981449684,0.1544609451547962,True
130,chef,Latino,0.9676958281377056,0.17369983844501616,True
131,chef,White,0.4252087625795824,-0.05065920914628717,False
132,coach,Arab,0.8403378128881058,0.042244282359395285,True
133,coach,Asian,0.06480715029540272,0.14121184662621086,True
134,coach,Black,0.8686210436389797,0.16584031400211469,True
135,coach,Hispanic,0.5352034770223258,0.1211979806966086,True
