country,beverage,direct_correlation,indirect_correlation,same_correlation
Congo,liquor,-0.18508280025215162,0.044361496033616644,False
Congo,beer,-0.4582618493145807,0.037622762353320134,False
Congo,wine,-0.3844345462969188,0.07815079506000538,False
Congo,vodka,-0.027993826522479434,0.03548531512511416,False
Congo,whiskey,-0.30117148748064426,0.032051561420183006,False
Congo,champagne,-0.027894826533851093,0.1359671520542346,False
Tanzania,water,0.3421593188469466,-0.16268556407960186,False
Tanzania,coffee,0.5735993015093275,0.10297003948277458,True
Tanzania,tea,1.1847362536313752,-0.006167314777855372,False
Tanzania,juice,0.6846088831168589,-0.1369091906560839,False
Tanzania,milk,-0.5900779954737662,-0.1424010425820348,True
Tanzania,soda,0.05901119501000099,-0.0710748692727435,False
Tanzania,alcohol,-0.550274492679422,0.05394470918783286,False
Tanzania,liquor,-0.6365142385847614,0.04946557477785823,False
Tanzania,beer,-0.5266715530700873,0.08001865233165092,False
Tanzania,wine,-0.09612288505556138,0.08807142530358479,False
Tanzania,vodka,-0.040517616033935534,0.029847723968039048,False
Tanzania,whiskey,-0.7483016551783066,0.11818290819981553,False
Tanzania,champagne,0.4576910832731678,0.12888451243748583,True
South Africa,water,-0.49184519531866877,-0.09828570831065256,True
South Africa,coffee,0.38955831932565965,0.13044323647687855,True
South Africa,tea,0.32395423339145935,-0.06333534012126185,False
South Africa,juice,0.29638608893825846,-0.14505827125114842,False
South Africa,milk,-0.3689022095383208,-0.11787800296677255,True
South Africa,soda,-0.3757158341501539,-0.07817320248633952,True
South Africa,alcohol,-0.24193720753869227,0.07195590503562342,False
South Africa,liquor,-0.48936998344451027,0.04746409398905486,False
South Africa,beer,0.14365743650898816,0.07956568463002751,True
South Africa,wine,0.29712984261381387,-0.023378693018417735,False
South Africa,vodka,-0.2340470419292252,-0.013706775823742686,True
South Africa,whiskey,-0.47072503755991213,0.10721840826112429,False
South Africa,champagne,0.5144460322704186,0.05071083650008012,True
Kenya,water,0.1918508707002652,-0.1321385142229936,False
Kenya,coffee,0.8789905976362475,0.13146294389074428,True
Kenya,tea,0.9725582056485184,-0.011631902262886611,False
Kenya,juice,0.8111112377365688,-0.1260471354144456,False
Kenya,milk,-0.02187523347769924,-0.10477514593237226,True
Kenya,soda,-0.14651403590342335,-0.037302174673059865,True
Kenya,alcohol,-0.4079429666844271,-0.01809660742212225,True
Kenya,liquor,-0.6717177594136053,-0.0022359896253975873,True
Kenya,beer,-0.38819510988106504,0.09262039598872106,False
Kenya,wine,-0.2569241202148396,0.024501690337166124,False
Kenya,vodka,0.06494754122199393,-0.03367107918732982,False
Kenya,whiskey,-0.35813171753242395,0.15727302624426914,False
Kenya,champagne,0.0921893897758245,0.05985298429786149,True
Uganda,water,0.156068095039483,-0.07432452032418765,False
Uganda,coffee,0.7236417235209901,0.11896577063508187,True
Uganda,tea,0.9372801442394114,0.010744902094637129,True
Uganda,juice,0.7351185760455626,-0.10018570084431515,False
Uganda,milk,0.047179604580807076,-0.07028341844455448,False
Uganda,soda,-0.09485318029924704,-0.0845434385865735,True
Uganda,alcohol,-0.2294595421676507,0.0207683829355446,False
Uganda,liquor,-0.43310136568296526,0.0025829532570496284,False
Uganda,beer,-0.2635689155851818,0.040777295847844404,False
Uganda,wine,-0.2213656980705443,0.04816862858539142,False
Uganda,vodka,-0.09146286275644486,-0.05892420990301554,True
Uganda,whiskey,-0.65781282574978,0.09994624016708917,False
Uganda,champagne,-0.25343619079688284,0.04708721383448082,False
Sudan,water,0.22112793543688106,-0.007353939350603113,False
Sudan,coffee,0.524268074294343,-0.02980725682311531,False
Sudan,tea,0.7079597228142143,-0.05229704345846395,False
Sudan,juice,0.1404223681636563,-0.09313733025526841,False
Sudan,milk,0.03259893969658059,-0.04784529152621051,False
Sudan,soda,-0.5629109577308911,-0.06677483795187152,True
Sudan,alcohol,-0.2249178274805255,0.011637015009532353,False
Sudan,liquor,-0.5555638399365567,-0.011699175690642147,True
Sudan,beer,-0.48636522397565274,-0.014852682827898173,True
Sudan,wine,0.06326656680838925,0.013077319246656414,True
Sudan,vodka,-0.7542816483950469,-0.12960155455707428,True
Sudan,whiskey,-0.554850106320569,0.0816149614022256,False
Sudan,champagne,-0.7231732250833981,-0.024916847324445986,True
