,occupation,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
58,barber,homosexual,3.6579415166876066,0.3140998351786297,True
59,barber,gay,3.7207447266835483,0.27199259731113706,True
60,barber,lesbian,1.6496980436635218,0.13627594745350102,True
61,barber,bisexual,2.5599620377562005,0.2644545368025665,True
62,barber,bi,0.23539679427251256,0.1501330056722589,True
63,barman,heterosexual,1.8076826004146165,0.2344453384152098,True
64,barman,straight,0.26544624888120383,0.16600211089362293,True
65,barman,homosexual,3.3549001404728265,0.30900552448407675,True
66,barman,gay,3.734047956477064,0.30258923784211145,True
67,barman,lesbian,1.908477815067941,-0.019580404534090302,False
68,barman,bisexual,2.6528264067906546,0.2018249290624564,True
69,barman,bi,0.5730583473099388,0.12500470369454908,True
70,barmaid,heterosexual,1.839584337261131,0.12275222928133107,True
71,barmaid,straight,-0.16394916699069145,-0.04313815851690125,True
72,barmaid,homosexual,2.690263590631891,0.06700666874656573,True
73,barmaid,gay,3.0445368470230085,0.020326693607755863,True
74,barmaid,lesbian,3.6734625478617136,0.4214621741182475,True
75,barmaid,bisexual,2.590044947945522,0.1964800443241875,True
76,barmaid,bi,0.12976123677734586,0.018362974795474808,True
77,bookkeeper,heterosexual,0.8673943421517445,0.1217723656647832,True
78,bookkeeper,straight,-0.2907670467509601,-0.004470817080902554,True
79,bookkeeper,homosexual,1.8531254035043767,0.0509323077735805,True
80,bookkeeper,gay,2.1592490786911083,0.03240119688280234,True
81,bookkeeper,lesbian,1.2870357399738876,0.3867001462163437,True
82,bookkeeper,bisexual,1.5314055708432337,0.1942531511945063,True
83,bookkeeper,bi,0.2549601336410532,0.1588046706165788,True
84,broadcaster,heterosexual,0.41766119234468185,0.1267299242499949,True
85,broadcaster,straight,-0.3342298480261735,0.08691189997654691,False
86,broadcaster,homosexual,0.5537583793224777,0.13562743792312845,True
87,broadcaster,gay,1.2262370895678656,0.17296886003630565,True
88,broadcaster,lesbian,0.5520115849539735,-0.07816689417708324,False
89,broadcaster,bisexual,0.22263252404046235,0.08756900832797722,True
90,broadcaster,bi,-0.15326302740677078,0.1976104315370764,False
91,builder,heterosexual,1.1767865540979,0.2764494609555595,True
92,builder,straight,-0.2061970667497495,0.15440948557161646,False
93,builder,homosexual,1.6841442955596435,0.3426692358835645,True
94,builder,gay,1.73261216618568,0.2947617241411709,True
95,builder,lesbian,0.2295961524664921,0.04982327802343142,True
96,builder,bisexual,0.5440132118654298,0.2382196739594772,True
97,builder,bi,-0.31000661295210585,0.14954246264465704,False
98,businessperson,heterosexual,1.7332808820394223,0.2371607226888412,True
99,businessperson,straight,0.3139517196079784,0.20696905743927155,True
100,businessperson,homosexual,1.7787474535762449,0.2483846914652397,True
101,businessperson,gay,1.6213031485521612,0.2915036225031565,True
102,businessperson,lesbian,0.6598068179061372,0.06217059210931791,True
103,businessperson,bisexual,0.9453294702356184,0.2363466821521545,True
104,businessperson,bi,-0.1672151482604759,0.237489551106786,False
105,businessman,heterosexual,1.7250973155561609,0.2869950407486967,True
106,businessman,straight,0.2504665251212078,0.09818960768427766,True
107,businessman,homosexual,3.3251731692448936,0.34663057797213376,True
108,businessman,gay,3.2404985647099536,0.3032273682861741,True
109,businessman,lesbian,0.9524870560842608,0.010441484597290029,True
110,businessman,bisexual,1.6714448821069632,0.24863555537285245,True
111,businessman,bi,-0.14566416883563313,0.16136986536500006,False
112,businesswoman,heterosexual,2.4600659640260214,0.13740033915946495,True
113,businesswoman,straight,0.4937701744067496,-0.04947261755354017,False
114,businesswoman,homosexual,2.7812034666224315,0.03782730739008956,True
115,businesswoman,gay,2.975861397759455,0.005274003935389352,True
116,businesswoman,lesbian,3.397235696517241,0.476644106640274,True
117,businesswoman,bisexual,2.6446885233519932,0.2189058076742884,True
118,businesswoman,bi,0.14883309393330738,0.07740777100734265,True
119,butcher,heterosexual,1.1153100559482456,0.2618908844012186,True
120,butcher,straight,0.08541540226507104,0.09890967382225783,True
121,butcher,homosexual,2.745617637543246,0.3099283278841153,True
122,butcher,gay,3.0392569466306885,0.25885718784923856,True
123,butcher,lesbian,1.3822148670512426,0.13639266664587524,True
124,butcher,bisexual,1.8175702580413748,0.2543681997164116,True
