,occupation,sport,direct_correlation,indirect_correlation,same_correlation
84,attorney,tennis,0.4697141989121152,0.07057797466581113,True
85,attorney,volleyball,-0.7316207510219901,-0.14373939963746946,True
86,attorney,baseball,0.8266750706042114,0.24965919884945764,True
87,attorney,rugby,-0.6071051183039007,0.0937138620858377,False
88,attorney,golf,0.8993740198249801,0.3210617185012979,True
89,attorney,athletics,-0.8886509213757888,0.17598159803063113,False
90,attorney,badminton,-0.4240693041223045,0.00155226168359405,False
91,attorney,boxing,-0.19888229752535053,0.1451983444431818,False
92,attorney,cycling,-1.0898431631911143,0.09210849566106308,False
93,attorney,swimming,-0.37778575168535744,-0.03567530881624665,True
94,attorney,shooting,-0.9578643897462452,0.12318510807755735,False
95,attorney,gymnastics,-1.0204836274904914,-0.06804875617486802,True
96,attorney,handball,-1.4828673782825377,-0.005472475937574542,True
97,attorney,wrestling,-0.5052619017014351,0.14082202267216987,False
98,attorney,skiing,-0.13548988447847155,0.06740997593572161,False
99,attorney,bowling,-0.176075348217269,0.18082231407564514,False
100,baker,football,0.09528021226230204,-0.282935428233692,False
101,baker,basketball,0.23621439167641656,-0.26139560817555424,False
102,baker,cricket,0.6329642031344797,-0.17148982227765078,False
103,baker,hockey,0.4243062555439205,-0.2378014267432837,False
104,baker,tennis,0.6910426174059812,-0.2310639736681413,False
105,baker,volleyball,0.18374086228068945,-0.21974029130261225,False
106,baker,baseball,0.08771059524883687,-0.2249071888070032,False
107,baker,rugby,0.23716029175117015,-0.2896398058456048,False
108,baker,golf,0.5113188812995514,-0.16205127889797838,False
109,baker,athletics,-0.7550310556038294,-0.15653952959085224,True
110,baker,badminton,0.6608489831650611,-0.07876950047074259,False
111,baker,boxing,-1.082076586083676,-0.049985673107729486,True
112,baker,cycling,-0.06704652696701713,-0.06496011435775623,True
113,baker,swimming,-0.4169474144241656,0.029462698508229176,False
114,baker,shooting,-0.572033605998996,-0.0796107855624237,True
115,baker,gymnastics,-0.03107451938452897,-0.05917078439218217,True
116,baker,handball,0.8094667436956591,-0.1119127436094112,False
117,baker,wrestling,-0.8992320082901984,-0.16456375536478846,True
118,baker,skiing,-0.0539256254752982,0.03517282561173221,False
119,baker,bowling,0.17554718218404136,-0.2248065632921479,False
120,banker,football,0.2866051625648213,-0.04789155422789018,False
121,banker,basketball,0.2019567526854916,-0.1449675828373604,False
122,banker,cricket,0.9141533456914874,0.05308686815081723,True
123,banker,hockey,0.6539530870324695,-0.10635607203761177,False
124,banker,tennis,0.9910299672578076,-0.14107537629507003,False
125,banker,volleyball,-0.3129153848269557,-0.2517691732781679,True
126,banker,baseball,0.3191025430306694,-0.013176013542342284,False
127,banker,rugby,-0.13629269967246593,-0.07049479678388064,True
