index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,Nigeria,Ethiopia,Egypt,Congo,Tanzania,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,Mexico,Canada,Guatemala,Haiti,Cuba,Honduras,Nicaragua,Brazil,Colombia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Fiji,Samoa,Tonga
Mallory,0.42884344861515983,0.12483828341906365,0.0979069522202899,0.1155828263355718,-0.29229791253999526,0.13683732589160885,0.37465444417622185,-0.281653139304391,-0.009404911516386082,-0.27817524684264827,-0.19214306741325257,0.06096546669382927,0.25267793049053416,-0.02829640248872356,0.08384998369806755,-0.08088718852476678,0.07945476347047127,0.3376850616931378,-1.3852340931084846,-1.654411959505729,-0.8347932640286497,-1.4309980944849274,-1.260119641341533,-1.2288432795614774,-1.2975452143532946,-1.3028089550241648,-1.4094738614603974,-0.9460863382132549,-0.7701588929705824,-2.283707651943742,-1.510113617768408,-1.5823959239336869,-0.9425328270284575,-1.999303072543993,-0.8058785480360767,-1.7344277084254753,-0.934695390966909,-0.6005266497374623,-0.22750657112693015,0.15159505643144824,-0.6193196392862493,-0.4773574758107929,-0.7657412833776047,-0.38385507725252094,-0.14479008323052234,-0.7449644171521022,-0.5568032439641794,-0.5670644060579613,0.25150906437913384,-0.5220582135552622,-0.8835221703136141,-0.7566784341820729,-0.3795230903413797,-0.5810951504357287,-0.6014861742233344,-0.9680207497260956,-0.6071195162663042,-0.7995190969878734,-1.2624453869599948,-0.5651636699770105,-1.4370295409463336,-1.017343104894013,-1.0705159353064135,-1.013128349108335,-0.2704774489975462,-1.4372248701147872,-1.1426219716400834,-1.3719247794461251
Russell,-0.2951754334883405,0.24164349027494686,0.0917759360012514,-0.16707057309932538,-0.1081355004842624,-0.10160697342047544,-0.18778301271115716,0.0149584043364066,0.1323365620676327,-0.20046409671736182,-0.21071625296668275,0.06578309364925923,-0.16371765230995233,0.05739949633999487,-0.28919632605177414,0.07777945665565156,0.10538298747032632,0.038556077435019036,-0.8368982318176722,-1.714762038693358,-1.3561231662458415,-1.483433538402335,-1.169510661304682,-0.9952201512767123,-0.7713774213251372,-1.702810859898522,-1.542742040913705,-1.4841977072727732,-1.4289562828577151,-2.403214456026835,-2.0465233914528453,-2.007227134525471,-1.1162898397150167,-1.4491937434003943,-1.2105778567504373,-2.195545360825376,-1.264127122044108,-1.2928497235510283,-0.5655689578351587,-0.3892205839415172,-0.9664766726150918,-0.926608954114913,-1.4328688526164925,-1.02636709673482,-1.0374238707779504,-0.5830721131254297,-0.8218094002914171,-0.8348756748884091,0.37202065735589146,-0.8554253566801802,-1.0374426487851856,-0.8270213230514323,-0.32493565131335905,-0.8124548795526424,-0.8754798099688064,-0.9701350216810026,-0.31027694171859854,-1.170197760785729,-1.235454791253278,-0.572130620108554,-1.5014656680099248,-1.098021147504757,-0.868314069272372,-0.6425125990379403,0.3479563459325922,-0.4712554722328884,-0.469772714154163,-0.22116002191939368
Christie,-0.39183894569928307,0.24712992402709202,0.4148831965539206,-0.36290813905241426,-0.06983139420223729,-0.3189120475736825,-0.8871042243404494,0.35100927012469935,0.054843826500553326,-0.36780517632551524,-0.2688048864269031,-0.33413427638777765,0.13671404612278742,0.3956865724105763,-0.2188831896036698,0.17399866279791237,0.08020816860733532,0.600482373835432,-0.7130395145861496,-2.4779908434765976,-1.9028567158553171,-2.420996731812307,-1.8423552980849849,-1.1750152958327036,-1.3426207795158303,-2.256374929131967,-2.169980025254534,-1.9603938980466526,-1.5553316384874825,-2.618803574976989,-2.5884348208388523,-2.238820555479569,-1.2434873803179176,-1.9028375624432634,-1.4774368804053122,-2.6678136807721073,-1.6562692404724035,-2.1278993901211094,-1.2261237350899261,-0.54881879067091,-1.1490298099449676,-1.187492740608384,-2.4999485729511406,-1.7015519264244467,-1.5875575596496954,-0.6141941208716742,-2.049291922876659,-1.7605742226967054,-0.14225069112170097,-1.7286663699917808,-1.6505686928997871,-1.8914454657193,-0.4928684023981824,-1.4725822326059101,-1.2121465258865087,-1.63555980946374,-0.763132600275839,-1.9559343402327887,-2.020093664272565,-1.05686694040847,-2.52680103669895,-1.9658290180147793,-1.0779100343503385,-0.8256925771694532,0.46348941050354503,-0.37387307704117756,-0.013796912651134275,0.025092965748159442
Suzanne,0.2211366714313247,0.10985407730257069,-0.04629819336031552,-0.22878724378557028,-0.20872143701473095,-0.10714229739586649,-0.1386374992878793,-0.05781076982268158,-0.005696568748433095,-0.09485530513565799,-0.05761448675481759,0.13055447843191062,0.4659649445323583,-0.11256597359092872,0.29962278219225824,-0.01115542204809707,0.03566247976427398,0.33645527786483687,-0.7981799683591742,-1.5243141963361297,-0.9818390308248095,-1.4825745609879102,-0.9700955222151565,-1.0459013721534307,-0.8962930217300277,-1.5507097697704726,-1.0497042875491365,-1.036254723230959,-0.2834377560301611,-1.3857474650700006,-0.8980332089885245,-0.7127106340810843,-0.8084159775493568,-0.7696370624497721,-0.5994021023888243,-1.2708414034085775,-0.9466923447671287,-0.6529003255253307,-0.10496013572162446,0.2047141104077902,-0.26163115407246573,-0.3295695299060216,-0.6708039461072001,-0.38029222125192447,-0.36223624778525515,0.22203152295320983,-0.40840308837944234,-0.7840147969138034,0.017606661211529793,-0.8863177006304658,-0.7841746564671573,-1.111651571656699,-0.6697351198324425,-1.0539616622439607,-0.717535999279828,-0.9409533506757134,-0.37513868862509586,-1.3460704271026445,-1.1471399751688116,-0.6984025620242778,-1.4803638739736302,-1.2887111933910342,-0.729394280880726,-0.7040821039191879,0.27044984610415884,-0.637104755632837,-0.7611366262124892,-0.42300767633119757
Alvin,-0.12211790806667146,-0.18041992784264455,-0.22315584496437088,-0.077583561203696,-0.16534085723285355,0.2480751342458256,-0.04027920592054837,0.11254841909587446,0.02653922383636849,-0.15001988720656076,-0.09395272506077164,-0.028280081648169336,-0.11297769012607543,0.20481186393099088,-0.11058960596498493,0.13062370808774576,-0.06320595421303256,0.021071640988137002,-0.1685554274009591,-0.6830665033607127,-0.5725655776651123,-0.4034546726438271,-0.3287883615705303,-0.34019169571563285,-0.4826002377665622,-1.010849850612699,-0.8624459727992589,-0.3257865805813161,-0.3495670388020044,-0.5993340776595228,-0.5596033909995843,-0.7860163873433963,-0.17591697774048107,0.07229371756748104,-0.3545755422173213,-0.7066391765455996,-0.5457010494888662,-0.5141752049470564,-0.17685390146281954,-0.11088874842787885,-0.510388796861875,-0.7067155571066304,-0.7050023639764263,-0.38120655235282247,-0.3801675514332818,0.18616886831361493,-0.6026009354219286,0.200339681988798,1.0213616682205073,-0.17295320903687203,0.20990292669315594,-0.04822013518180693,0.012828662935678583,-0.09511397727456578,0.009677407386330788,-0.2649976790258585,0.2368876963831298,-0.49651612818437485,-0.5817624530175075,-0.06929345335974946,-0.5513299727147373,-0.6168457979112912,-0.34291510127564895,-0.21144652581109727,-0.1844441905403814,-0.706004846181582,-0.6023814843995184,-0.3183368530558448
Sheila,-0.387289757172866,0.0566834270650262,0.17569700261363802,-0.10370102640935767,-0.03444379301688065,-0.11274096330600591,-0.47888400852041746,0.041330396514037054,-0.20701468410543244,0.028872485415245886,0.020145005556108944,-0.24644912377985148,-0.0895222667492029,0.025381127152879646,-0.3726668629205197,0.18019760303847715,-0.16301204563892632,-0.16456739555042013,-0.5409005319521263,-1.3263487622763819,-0.8987417235120047,-1.0961590921215685,-0.6084671534886884,-0.48947872902020695,-0.4586747075151997,-0.8214666614588294,-1.3181610648676934,-0.7533065072316303,0.44634413191051453,-1.0002139991523056,0.13937491293005946,0.1153595028934235,-0.9233951193397617,-0.5040757053274498,-0.503183231592635,-0.983710303570386,-1.1896712926194812,-0.9541830229903021,-0.6546533396160873,-0.3906091814086842,-0.7749713685417863,-0.8139926362469313,-1.435124411281608,-1.0633904706428523,-1.1055265736482582,-0.38465392600347653,-1.0050746359700649,-0.9979790889130576,-0.11915365411356148,-1.162728455650169,-1.4129575934422218,-1.5199171040972037,-0.8210430692703469,-1.2487204017916436,-1.1001846171341738,-1.3218407582645613,-0.7104363202472829,-1.385643559282904,-1.5812513263498,-0.8817768703139388,-1.7390029624510253,-1.4851515537182514,-0.996804868206911,-0.9867071588134858,0.24765306179726856,-0.1970632881755242,-0.8623597141926698,-0.8082149297715129
Cindy,0.09111347128696426,0.40429657607439196,0.17388579842980306,0.04582529143150797,0.3380129829197811,0.3358778829245215,-0.3224463977981358,0.33780741045830687,0.309707936411343,-0.18046077196135848,-0.18058647055470672,0.009999777774947129,-0.21052078879093358,0.035022462181258415,0.05123945103371367,0.06557474150500289,-0.144236737524023,-0.30404104020112965,-1.2234468900487985,-1.2317515384706088,-0.8744011621904504,-1.2522796519272097,-0.9653679442333959,-0.7990166647972314,-1.020503500101961,-1.479654731803371,-1.7081858185126462,-0.2619088720348301,-0.8959505500095811,-1.3401541971826891,-1.72498161775997,-1.868778393383142,-0.1736513057562764,-0.9090703394897025,-0.1444787321930856,-1.609826434913667,-1.0402927417955559,-0.37667441659882606,-0.30429470380885515,-0.11631481041007442,-0.245512592359624,-0.5502895960374568,-1.3936240748508144,-0.6983205858307936,-0.32899278856973035,-0.552680793060429,-0.7735510559460381,-0.0835204260270406,0.4380128433077571,-0.7642050830640509,-1.0467220038168323,-0.7393952314525996,-0.5148298980594029,-0.7635292469072404,-0.6655567623162324,-0.8869490279184524,-0.7167898470838767,-0.788923557053726,-1.2862575178016935,-0.5368982638960436,-1.1647289627414639,-1.1644648870664511,-1.2166286397095345,-1.1359157738820982,0.2773126031311013,-0.5183985196225553,-0.3907629882770305,-0.6088592069207397
Garrett,-0.6655069677762,-0.2440093717596011,-0.9587841882333082,-0.45137674216658374,-1.115031089935451,-0.23271910426538114,-0.3431332895863869,-0.43828204899385564,-0.029941080569006403,-0.10028470231981954,-0.052042217956373885,0.1939837359340642,-0.45724020176433494,-0.2699741451198956,-0.10082169249038037,-0.49557382028933905,0.5036799876172869,0.34359857727994797,-0.9655939592775068,-1.5538730018287037,-1.5590186219714577,-1.3503735127798726,-1.0444624068125967,-1.1876802609524177,-1.1040739981863696,-1.7800235868117928,-1.89097354530616,-1.271603118454567,-1.5849360660468872,-2.2313481673908964,-1.9579019848114119,-2.1069058200290884,-0.912239538430636,-1.2840279982853633,-0.6313799417624054,-1.9987012120182797,-1.4252477755237603,-1.2021579547201449,-0.5916857797815954,-0.5996686104748038,-1.0713047154070472,-1.0295595362726213,-1.4230721456483422,-1.217929991464372,-0.8261984250125278,-1.2870955580798087,-1.2851188290378015,-0.1343514674651551,0.12626939517973423,-0.5412556336972534,-0.3935752361774608,-0.40663255663935854,-0.13074508850094624,-0.5764749693159885,-0.6042876671094092,-0.7063160025180908,-1.0053841888556074,-1.0159859536428815,-1.2649216415587787,-0.8961891538942827,-1.2206927361943314,-1.0038785820620382,-1.035560664227948,-1.1736489265646937,-0.335775182195874,-1.0471604837695705,-0.3145375325757304,-0.632455426428425
Cole,-0.16168622426848198,-0.054933817693163536,-0.6682761772027473,-0.11157443425637081,-0.6349716163334304,0.23058379364992632,0.012055590191294485,-0.29222285502277334,0.1858512189609266,-0.014109544452152976,-0.024540422482817424,0.16216719596151946,-0.3457623000544278,-0.13869402785549959,-0.04001538909821724,-0.1475340054223668,0.08326903323634163,-0.11918868160023428,-0.936365868145392,-1.6689255644506322,-1.5714592759049322,-1.3973212517651723,-1.1028332140363304,-1.085240504913165,-0.9517913639462214,-1.793821796211239,-1.998119654185538,-1.0913901474395848,-1.5020833628579795,-1.783894785239592,-1.9715468667544613,-1.888820913671139,-0.5615682276025418,-0.810859856544828,-0.6578172389162915,-2.1161471345927803,-1.4486344467066912,-1.354686870008196,-0.8032368797055215,-0.6763285214851028,-1.028239574459493,-0.9453456874958993,-1.79843995812773,-1.3349620189707108,-1.1822365151112268,-0.8852707086244168,-1.3648914676984942,-0.44846716716632123,0.17075038374314827,-0.7118304711941722,-0.7981054145986013,-0.5697867594503196,-0.23291290468038534,-0.5690271565918981,-0.6712453083249973,-0.6967440332846001,-0.7779508205531043,-0.8749046358535925,-1.1865880966986446,-0.7064820559006463,-1.147363761395999,-0.9717289183847503,-0.9094241007161875,-0.9207778127882367,0.18816199763374575,-0.6279325874195485,-0.2155656899879769,-0.34127773724859145
Molly,0.08047982741071427,0.16706654031673765,-0.00010968584628423852,0.058033862035577644,-0.06291599594461857,0.3600738025424423,0.0644832854781605,0.2263963499744468,0.08735778119660906,0.08796607075030247,0.21332918760980504,0.3278902467410594,-0.4911419409483192,0.3535202979053025,-0.04595769099692527,0.17985395377060265,0.4708852843694307,-0.08715048784017504,-1.8657227819759392,-1.8070459806978434,-1.2941797256015406,-1.5761639095370612,-1.549225809348394,-1.320621792099772,-1.4235848184199982,-2.1692238669028865,-2.1216943099926184,-0.5594117803132581,-1.1194999114927813,-2.0400679151300034,-2.3598152770727006,-2.1607509765403305,-0.7656355374440467,-1.7145119973315266,-0.37907984328987687,-2.0847694763853735,-1.4459945203092646,-0.40232921291611706,-0.5211095123672188,-0.23149633927448598,-0.5208772371518914,-0.6846154704356598,-1.3225089716937959,-0.7230821147341879,-0.4780471801303437,-1.1273186642226136,-1.0831199527739475,-0.15506303250017547,0.24462756304357242,-0.6153380961082096,-0.8880992984388302,-0.5314888977796906,-0.3688322527474083,-0.574420934266163,-0.8627671794630162,-1.141118435141136,-1.0223555677346923,-0.9488975077509625,-1.4518499171399402,-0.7385534498587234,-1.3527274816618886,-1.3703809437677859,-1.4116843223809978,-1.4483564158326987,-0.36127977613645496,-0.962102257657073,-0.30730412376186766,-0.8895035722023761
