country,race,direct_correlation,indirect_correlation,same_correlation
Japan,Latino,1.437032791229976,0.12492560353305546,True
Japan,White,0.6747131471242843,0.14425695096745567,True
Philippines,Arab,1.9571862260685344,0.12966823177256806,True
Philippines,Asian,2.794861844079065,0.031187239370271857,True
Philippines,Black,1.3147825713246217,-0.04884896518518007,False
Philippines,Hispanic,1.9459367503827563,0.009857782209465307,True
Philippines,Latino,2.222696345699827,0.020785847248353334,True
Philippines,White,1.1029414372361683,-0.003033460996922954,False
Vietnam,Arab,1.6003004276758552,0.14300556570350345,True
Vietnam,Asian,2.3136583654536733,0.24290444666297265,True
Vietnam,Black,0.9415133643529405,0.05205526991017606,True
Vietnam,Hispanic,1.2919359147508536,0.24401184257763203,True
Vietnam,Latino,1.3164838106106627,0.17486048297315399,True
Vietnam,White,0.9561321386397679,0.13024991180778797,True
