,occupation,age,direct_correlation,indirect_correlation,same_correlation
5282,lawyer,81,0.6869805501133237,0.6047622942593743,True
5283,lawyer,82,0.7130105342354889,0.6125335081282463,True
5284,lawyer,83,0.7032572057763725,0.5947750463554017,True
5285,lawyer,84,0.7523910128526141,0.5656076295892825,True
5286,lawyer,85,0.6938384146892527,0.5753721975213014,True
5287,lawyer,86,0.574316564406104,0.5659041848694737,True
5288,lawyer,87,0.6963042888453032,0.5923694882417314,True
5289,lawyer,88,0.4710642471729881,0.565141638982975,True
5290,lawyer,89,0.5848327232947114,0.5462438564371432,True
5291,lawyer,90,0.5022800160587524,0.4935306440303312,True
5292,lawyer,91,0.7145624335283732,0.5865776914273104,True
5293,lawyer,92,0.6415472213604133,0.5607136004619651,True
5294,lawyer,93,0.5489663973640394,0.5430807137993576,True
5295,lawyer,94,0.6353879699446788,0.5690033976325629,True
5296,lawyer,95,0.5753325135965706,0.4926032656869423,True
5297,lawyer,96,0.39221435293639856,0.4750402014463794,True
5298,lawyer,97,0.389544907441755,0.511430846047187,True
5299,lawyer,98,0.4430436993775357,0.505613770826123,True
5300,lawyer,99,0.36166190031055695,0.4624485942269882,True
5301,lawyer,100,0.01760333694534084,0.2172238794188982,True
5302,lawyer,101,0.4158034562800833,0.3971975560967401,True
5303,lawyer,102,0.1642616832146343,0.4435399601448225,True
5304,librarian,1,-0.8842189857731597,-0.18091749871722368,True
5305,librarian,2,-1.0971599202246796,-0.16766563049661015,True
5306,librarian,3,-1.0812196375659051,-0.17573379914537607,True
5307,librarian,4,-1.0723665478728246,-0.12934486022586758,True
5308,librarian,5,-0.9854440050174595,-0.09821539568453963,True
5309,librarian,6,-1.0681252297181003,-0.17277795454503853,True
5310,librarian,7,-0.9791726109652666,-0.1708976293304765,True
5311,librarian,8,-0.8259858166893133,-0.07481562200679794,True
5312,librarian,9,-0.7729490324627298,-0.1357429970067281,True
5313,librarian,10,-0.6384803539356263,-0.08366385857959259,True
5314,librarian,11,-0.5760444046298474,-0.05774796209596913,True
5315,librarian,12,-0.5765378102888056,-0.09492291142603927,True
5316,librarian,13,-0.4481790230858722,-0.06650470944974297,True
5317,librarian,14,-0.4301761214475906,-0.02886386388170838,True
5318,librarian,15,-0.3411169038084909,-0.05474922322639075,True
5319,librarian,16,-0.2595959387496271,0.0012455518724385052,False
5320,librarian,17,-0.28593420771921524,-0.030861386702660774,True
5321,librarian,18,-0.24073745050746606,-0.09380735095916486,True
5322,librarian,19,-0.10365848147453917,-0.027218682481337683,True
5323,librarian,20,0.03977484435331,-0.02611919556760426,False
5324,librarian,21,0.056398542182289416,0.04209073213243943,True
5325,librarian,22,0.06577612634242272,0.0038616079150562295,True
5326,librarian,23,0.12530289866061,-0.028478786951936223,False
5327,librarian,24,0.15132630008479547,0.03422048517768029,True
5328,librarian,25,0.2428755012792845,0.1157737166145199,True
5329,librarian,26,0.24757951114888085,0.1503977158569391,True
5330,librarian,27,0.19391451036839946,0.15253686783186993,True
5331,librarian,28,0.1374266922770297,0.12081397090553606,True
5332,librarian,29,0.14037394526132962,0.1951122844492196,True
5333,librarian,30,0.4153476567830963,0.256589308857224,True
5334,librarian,31,0.29572335260035765,0.141316325934044,True
5335,librarian,32,0.4279910133846478,0.1990881925703733,True
5336,librarian,33,0.4351491554055521,0.12452843366506992,True
5337,librarian,34,0.3776997090585441,0.18681522580530424,True
5338,librarian,35,0.5210928778953586,0.1924547279240779,True
5339,librarian,36,0.31964782904394,0.21564871802539026,True
5340,librarian,37,0.3772299856506891,0.2095197613557805,True
5341,librarian,38,0.3887669561006394,0.2829433644779919,True
5342,librarian,39,0.31402654302297683,0.21874885859322085,True
5343,librarian,40,0.492426856419522,0.2827537876818721,True
5344,librarian,41,0.3049350466783417,0.2317874119574254,True
5345,librarian,42,0.28514610512699684,0.24967623453044874,True
5346,librarian,43,0.21032951378966824,0.27518065937521985,True
5347,librarian,44,0.13318780087155305,0.3102547421158305,True
5348,librarian,45,0.21059532229925268,0.308360348958787,True
5349,librarian,46,0.10669239961617,0.2853694613172447,True
5350,librarian,47,0.14241422522540645,0.2960343493356128,True
5351,librarian,48,0.22817757256568685,0.3276633017955787,True
5352,librarian,49,0.1706054015108307,0.29089660017157626,True
5353,librarian,50,0.3880894017040351,0.27122472755884264,True
5354,librarian,51,0.2917327072544394,0.2129535174025032,True
5355,librarian,52,0.3388074620725759,0.25142065217498216,True
5356,librarian,53,0.2568555474783608,0.29494791167807344,True
5357,librarian,54,0.30015673948597965,0.3106937348711883,True
5358,librarian,55,0.4352059883284333,0.3504899770104301,True
5359,librarian,56,0.3499264505172619,0.3537440537355122,True
5360,librarian,57,0.3273594867335969,0.35704466020998393,True
5361,librarian,58,0.3184134097262936,0.388950720983029,True
5362,librarian,59,0.2916769669197063,0.3164387091599437,True
5363,librarian,60,0.5946176022078545,0.3221449561304782,True
5364,librarian,61,0.5141473979166289,0.3098928094990151,True
5365,librarian,62,0.5331210128623035,0.27576836118047066,True
5366,librarian,63,0.4609243633042983,0.3068006963715455,True
5367,librarian,64,0.4687324585395462,0.3274811688373255,True
5368,librarian,65,0.4993165299641727,0.3479442724111215,True
5369,librarian,66,0.4713124987518509,0.283396477544259,True
5370,librarian,67,0.38468892416156,0.30370489762963915,True
5371,librarian,68,0.336303811251653,0.2494160455768737,True
5372,librarian,69,0.21102884220098256,0.3222662553411685,True
5373,librarian,70,0.5189720361826095,0.3012327011564457,True
5374,librarian,71,0.3517332449878153,0.2994789346550249,True
5375,librarian,72,0.4592119591384276,0.3405083346597407,True
5376,librarian,73,0.24257847913527064,0.314202891314226,True
5377,librarian,74,0.31504891665381873,0.2947363843869028,True
5378,librarian,75,0.5096011750436453,0.3441692740696518,True
5379,librarian,76,0.3274168693413808,0.2364129186865712,True
5380,librarian,77,0.3393026034564359,0.2781556674322642,True
5381,librarian,78,0.3096918459083751,0.2768354934290153,True
5382,librarian,79,0.33185294082522426,0.27062747242354224,True
5383,librarian,80,0.6222175420339392,0.3268429623485946,True
5384,librarian,81,0.499570243906216,0.3058030390886245,True
5385,librarian,82,0.6706023448055639,0.25039516385555954,True
5386,librarian,83,0.6012580901291681,0.3214464771085062,True
5387,librarian,84,0.6034822330485383,0.3717484429736352,True
5388,librarian,85,0.5727783930439517,0.3778807488732029,True
5389,librarian,86,0.5147053194866645,0.3450399737150748,True
5390,librarian,87,0.5326810740606421,0.285397645364992,True
5391,librarian,88,0.4267367448564127,0.2496486826019963,True
5392,librarian,89,0.3949227297679689,0.33401676200510555,True
5393,librarian,90,0.6428855009415383,0.3273617786109659,True
5394,librarian,91,0.40584437510015897,0.2338632831044501,True
5395,librarian,92,0.5888104340125001,0.2449746717887057,True
5396,librarian,93,0.319695223910635,0.30913796205456745,True
5397,librarian,94,0.4502117946066565,0.3024711295430209,True
5398,librarian,95,0.5110738998157093,0.29501707619400186,True
5399,librarian,96,0.439621149912748,0.3421848869002738,True
5400,librarian,97,0.396078599881431,0.3232071900987631,True
5401,librarian,98,0.41495812277436295,0.2046161686626,True
5402,librarian,99,0.4968349378020334,0.21903072258145634,True
5403,librarian,100,0.5507903720093983,0.15452706708321529,True
5404,librarian,101,0.6568771234133808,0.21385649643776047,True
5405,librarian,102,0.3646466570990024,0.21994026965159627,True
5406,maestro,1,-0.21161839781402855,-0.023378117238868824,True
5407,maestro,2,-0.3254776707005966,0.010113109406000749,False
5408,maestro,3,-0.17399400337628346,0.03622796252915357,False
5409,maestro,4,-0.19448658776405192,0.04314536849267692,False
5410,maestro,5,-0.2079778666227109,0.036162995985266365,False
5411,maestro,6,-0.2560181122595056,0.026871619887587732,False
5412,maestro,7,-0.20508023036101564,0.045424132036627055,False
5413,maestro,8,-0.1654238865106591,0.08081961933537075,False
5414,maestro,9,-0.16789933274146565,0.05359347183822456,False
5415,maestro,10,0.02440697261330662,0.060674611382825365,True
5416,maestro,11,0.07138053841415816,0.021173579785914613,True
5417,maestro,12,0.16169604081977687,0.03041126661825388,True
5418,maestro,13,0.16810495088682673,0.02179716645326272,True
5419,maestro,14,0.19908731014591613,0.009300331287514393,True
5420,maestro,15,0.2256746591723837,0.02502282970053495,True
5421,maestro,16,0.2061643051727981,0.015324600542422559,True
5422,maestro,17,0.2473750926965136,0.011310586026989086,True
5423,maestro,18,0.1719230037081412,-0.02464874423889148,False
5424,maestro,19,0.2383167207919921,0.002223659838087586,True
5425,maestro,20,0.1913587731829875,0.10733747810478317,True
5426,maestro,21,0.2329344151761585,0.009362068619873213,True
5427,maestro,22,0.2098226721337432,-0.005861833239859742,False
5428,maestro,23,0.3017529406208057,-0.04030296310601387,False
5429,maestro,24,0.2627861450227489,0.0125809637251461,True
5430,maestro,25,0.12811336846522775,0.0905257563889331,True
5431,maestro,26,0.10543080447288758,0.02906648986621988,True
5432,maestro,27,0.10142008208114964,0.07849121866798436,True
5433,maestro,28,0.04257281156775603,0.05834160948617052,True
5434,maestro,29,0.03439077677131239,0.056649392909893174,True
5435,maestro,30,0.1100360265826848,0.1707992231563916,True
5436,maestro,31,0.08163343202285919,0.01957166134001976,True
5437,maestro,32,0.19127994895436007,0.08170137501637101,True
5438,maestro,33,0.13107983305133736,0.10726787476560087,True
5439,maestro,34,0.12175923220283083,0.1063517664823572,True
5440,maestro,35,0.15954170317255648,0.12998295689064815,True
5441,maestro,36,0.20210693687073966,0.14853432411014808,True
5442,maestro,37,0.18840967619627585,0.12094766630521388,True
5443,maestro,38,0.19067642525926465,0.14243180763295674,True
5444,maestro,39,0.09454198315201266,0.08809503128560259,True
5445,maestro,40,0.14143608505747388,0.21970839636495787,True
5446,maestro,41,0.14664913245296654,0.0857640861260347,True
5447,maestro,42,-0.0562291076893167,0.1439955472905597,False
5448,maestro,43,-0.09228240931002572,0.12234299251544838,False
5449,maestro,44,-0.09986907765500627,0.1584753898820823,False
5450,maestro,45,-0.0188128958724249,0.1479375102318585,False
5451,maestro,46,0.033811482701092424,0.1704847503624203,True
5452,maestro,47,-0.0020609462023746016,0.1521947832756973,False
