country,yob,direct_correlation,indirect_correlation,same_correlation
Nigeria,2015,1.1685375990354858,0.03647856706263166,True
Nigeria,2016,1.2951375952062334,0.05184527717318094,True
Nigeria,2017,0.4541743618916835,0.06719094849710255,True
Nigeria,2018,-0.055547483677741094,0.029658961242722326,False
Nigeria,2019,-0.12169782561104804,0.06595865779804783,False
Nigeria,2020,-0.8840615383325342,0.08402161576719709,False
Ethiopia,1920,-0.24967581981034198,0.07932844012027347,False
Ethiopia,1921,-0.6031488966630049,0.050444662315449106,False
Ethiopia,1922,-0.06648749942102737,0.08812179153873252,False
Ethiopia,1923,-0.16262010578096545,0.0759819412822395,False
Ethiopia,1924,-0.13287263063404522,0.07487754406471035,False
Ethiopia,1925,-0.5023072258865321,0.07113323263480757,False
Ethiopia,1926,-0.23383203485065418,0.0736161890731269,False
