country,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
China,lesbian,0.042762702422139136,-0.04378994640914388,False
China,bisexual,0.7224068105319471,-0.0074215380973544605,False
China,bi,-0.0008996500001639869,0.01725695169410252,False
India,heterosexual,-0.24990399322419846,-0.15205557111006396,True
India,straight,-0.3139932702471281,-0.01978735411740726,True
India,homosexual,-0.35968408157172704,-0.1571162051609155,True
India,gay,-0.13753472089032434,-0.05299746044380437,True
India,lesbian,-0.22005008067744533,0.03964683299449847,False
India,bisexual,0.3556088778394605,-0.07930992368838109,False
India,bi,0.33046653016383526,-0.06509952119383976,False
Indonesia,heterosexual,0.6744981144543782,0.051262852466467675,True
Indonesia,straight,-0.32518790479742643,0.006307403511460085,False
Indonesia,homosexual,0.2955243315642672,0.05325816723098223,True
Indonesia,gay,0.04893248744803392,0.07608603508597636,True
Indonesia,lesbian,0.19384315830307364,0.0987394158442416,True
Indonesia,bisexual,1.0072922171998377,0.09437630149189119,True
Indonesia,bi,0.2191809233885565,0.07777952584673245,True
Pakistan,heterosexual,0.4034950096898351,0.00893208388444634,True
Pakistan,straight,-0.2303039356611723,-0.04077133860791841,True
Pakistan,homosexual,0.18142954922519755,-0.015541583728633948,False
Pakistan,gay,0.24073852881552105,-0.030416249375677502,False
Pakistan,lesbian,0.29100111685304103,0.028670785289382064,True
Pakistan,bisexual,0.3161186675928371,0.007047499034663773,True
Pakistan,bi,0.4755055493297716,-0.06922265109840994,False
Bangladesh,heterosexual,0.025063853704084094,0.032382414895659184,True
Bangladesh,straight,-0.30411462513750276,0.012382100648143494,False
Bangladesh,homosexual,-0.47654673211751436,0.07011383922535361,False
Bangladesh,gay,-0.329650024544519,0.02033290783843933,False
Bangladesh,lesbian,0.11268193571453586,-0.1595227986272656,False
Bangladesh,bisexual,0.4976719244553993,-0.06554406566906057,False
Bangladesh,bi,0.5868929148657172,-0.11854310231760896,False
Japan,heterosexual,0.8198868748737949,0.033412906287131235,True
Japan,straight,-0.25188539973710666,0.08107962093298951,False
