,occupation,age,direct_correlation,indirect_correlation,same_correlation
44,accountant,45,1.0218273786772567,0.26338846444845776,True
45,accountant,46,1.085828794224739,0.3003375055236143,True
46,accountant,47,1.01664266288951,0.2448376485734383,True
47,accountant,48,0.9269705277245464,0.2195774111331177,True
48,accountant,49,1.179675022937237,0.20324486745664816,True
49,accountant,50,0.3611885644771606,-0.01374855206270367,False
50,accountant,51,1.041105958111461,0.20290841327305945,True
51,accountant,52,0.8795824964206489,0.1320421567276559,True
52,accountant,53,0.9114900127965442,0.15888757660041292,True
53,accountant,54,0.8785237477890191,0.16315110588554935,True
54,accountant,55,0.8339994453783278,0.15031404563027334,True
55,accountant,56,0.7241353562452169,0.16629709956875088,True
56,accountant,57,0.7390161593284753,0.14144957621482326,True
57,accountant,58,0.6590666087179088,0.15456133677047734,True
58,accountant,59,0.7596019720658707,0.1491208223049298,True
59,accountant,60,-0.1124733494268115,-0.047722631481881,True
60,accountant,61,0.6192462654228287,0.14293494521302189,True
61,accountant,62,0.3964888033449213,0.11154307903018357,True
62,accountant,63,0.20713676901653647,0.0757794998666964,True
63,accountant,64,0.16612825885884505,0.017958579188982464,True
64,accountant,65,0.07194983380880926,-0.01814213645062057,False
65,accountant,66,0.21750330901577364,-0.016156721462688196,False
66,accountant,67,0.033737849051639415,0.03040789862416832,True
67,accountant,68,0.031306529799163714,0.04063938879051278,True
68,accountant,69,-0.06331253948904994,-0.0020757674469176982,True
69,accountant,70,-0.8275876480552309,-0.14509279550032614,True
70,accountant,71,-0.2547655863299454,0.05761616317791949,False
71,accountant,72,-0.8353688998072263,-0.12229378284131452,True
72,accountant,73,-0.5130469393680218,-0.008849071289479,True
73,accountant,74,-0.8034485081376358,-0.007512093302509559,True
74,accountant,75,-1.0560590953760622,-0.06328498658321823,True
75,accountant,76,-0.9607170138172983,0.02997793174329525,False
76,accountant,77,-1.1896682605302602,-0.025859646656657558,True
77,accountant,78,-1.0475487816382671,-0.004089584675323024,True
78,accountant,79,-1.069927798756679,-0.03983256830519488,True
79,accountant,80,-1.74352919392567,-0.15132348420015213,True
80,accountant,81,-1.3045952480446852,-0.015614841913571372,True
81,accountant,82,-1.3373316322752031,-0.04685974040923259,True
82,accountant,83,-1.3955706875573075,0.01130991031193595,False
83,accountant,84,-1.5967496765130578,-0.0771385676852745,True
84,accountant,85,-1.4565882508454295,-0.025098147153921755,True
85,accountant,86,-1.4628702127669762,-0.03598512538836094,True
